" - Edit"," - Bearbeiten"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[STORE VIEW]"
"[WEBSITE]","[WEBSITE]"
"[...]","[...]"
"About Blog","Über den Blog"
"Action","Aktion"
"Add","Hinzufügen"
"Add Child Category","Unterkategorie hinzufügen"
"Add New","Neu hinzufügen"
"Add New Post Attribute","Neues Beitragsattribut hinzufügen"
"Add Post","Beitrag hinzufügen"
"Add Root Category","Stammkategorie hinzufügen"
"Add Tag","Tag hinzufügen"
"Add category","Kategorie hinzufügen"
"Add option","Option hinzufügen"
"Add post","Beitrag hinzufügen"
"Add tag","Tag hinzufügen"
"Advanced Configuration","Erweiterte Konfiguration"
"After post content, it will show recent posts in same category","Nach dem Beitragsinhalt werden aktuelle Beiträge derselben Kategorie angezeigt"
"Allow Comment","Kommentar erlauben"
"Allow comments","Kommentare erlauben"
"Allow guest comments","Gastkommentare erlauben"
"An error occurred while trying to delete the category.","Beim Versuch, die Kategorie zu löschen, ist ein Fehler aufgetreten."
"Approved","Genehmigt"
"Are you sure?","Sind Sie sicher?"
"Assign category to Post","Kategorie dem Beitrag zuweisen"
"Assign post to Category","Beitrag der Kategorie zuweisen"
"Assign post to Tag","Beitrag dem Tag zuweisen"
"Assign tag to Post","Tag dem Beitrag zuweisen"
"Attribute Information","Attributinformationen"
"Attribute with the same code already exists","Ein Attribut mit demselben Code existiert bereits"
"Attributes","Attribute"
"Back","Zurück"
"Better Blog","Better Blog"
"BetterBlog","BetterBlog"
"BetterBlog Feeds","BetterBlog-Feeds"
"Blog","Blog"
"Blog name","Blog-Name"
"Blog sitemap generated successfully.","Blog-Sitemap wurde erfolgreich generiert."
"Buy","Kaufen"
"CSV","CSV"
"Can","Kann"
"Can't delete root category.","Stammkategorie kann nicht gelöscht werden."
"Cannot move parent inside category","Übergeordnete Kategorie kann nicht in Unterkategorie verschoben werden"
"Categories","Kategorien"
"Categories rss feed","Kategorien-RSS-Feed"
"Category","Kategorie"
"Category API","Kategorie-API"
"Category link","Kategorielink"
"Category link widget","Kategorielink-Widget"
"Category move error","Fehler beim Verschieben der Kategorie"
"Category posts","Kategoriebeiträge"
"Category posts widget","Kategoriebeiträge-Widget"
"Category subtree","Kategorie-Unterbaum"
"Category subtree widget","Kategorie-Unterbaum-Widget"
"Category view","Kategorieansicht"
"Category view page","Kategorieansichtsseite"
"Category view widget","Kategorieansicht-Widget"
"Change status","Status ändern"
"Children","Untergeordnete"
"Children count","Anzahl untergeordneter Elemente"
"Collapse All","Alle einklappen"
"Comment","Kommentar"
"Comment Form","Kommentarformular"
"Comment Title","Kommentartitel"
"Comment can't be empty","Kommentar darf nicht leer sein"
"Comment form has been disabled.","Das Kommentarformular wurde deaktiviert."
"Comment title","Kommentartitel"
"Comment title can't be empty","Kommentartitel darf nicht leer sein"
"Comment was successfully deleted.","Kommentar wurde erfolgreich gelöscht."
"Comment was successfully saved","Kommentar wurde erfolgreich gespeichert"
"Comments","Kommentare"
"Compatible with","Kompatibel mit"
"Content","Inhalt"
