" - Edit"," - Editar"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[STORE VIEW]"
"[WEBSITE]","[WEBSITE]"
"[...]","[...]"
"About Blog","Acerca del blog"
"Action","Acción"
"Add","Añadir"
"Add Child Category","Añadir subcategoría"
"Add New","Añadir nuevo"
"Add New Post Attribute","Añadir nuevo atributo de artículo"
"Add Post","Añadir artículo"
"Add Root Category","Añadir categoría raíz"
"Add Tag","Añadir etiqueta"
"Add category","Añadir categoría"
"Add option","Añadir opción"
"Add post","Añadir artículo"
"Add tag","Añadir etiqueta"
"Advanced Configuration","Configuración avanzada"
"After post content, it will show recent posts in same category","Después del contenido del artículo, se mostrarán los artículos recientes de la misma categoría"
"Allow Comment","Permitir comentario"
"Allow comments","Permitir comentarios"
"Allow guest comments","Permitir comentarios de invitados"
"An error occurred while trying to delete the category.","Se produjo un error al intentar eliminar la categoría."
"Approved","Aprobado"
"Are you sure?","¿Está seguro?"
"Assign category to Post","Asignar categoría al artículo"
"Assign post to Category","Asignar artículo a la categoría"
"Assign post to Tag","Asignar artículo a la etiqueta"
"Assign tag to Post","Asignar etiqueta al artículo"
"Attribute Information","Información del atributo"
"Attribute with the same code already exists","Ya existe un atributo con el mismo código"
"Attributes","Atributos"
"Back","Volver"
"Better Blog","Better Blog"
"BetterBlog","BetterBlog"
"BetterBlog Feeds","Feeds de BetterBlog"
"Blog","Blog"
"Blog name","Nombre del blog"
"Blog sitemap generated successfully.","Mapa del sitio del blog generado correctamente."
"Buy","Comprar"
"CSV","CSV"
"Can","Puede"
"Can't delete root category.","No se puede eliminar la categoría raíz."
"Cannot move parent inside category","No se puede mover el padre dentro de la categoría"
"Categories","Categorías"
"Categories rss feed","Feed RSS de categorías"
"Category","Categoría"
"Category API","API de categorías"
"Category link","Enlace de categoría"
"Category link widget","Widget de enlace de categoría"
"Category move error","Error al mover la categoría"
"Category posts","Artículos de la categoría"
"Category posts widget","Widget de artículos de la categoría"
"Category subtree","Subárbol de categoría"
"Category subtree widget","Widget de subárbol de categoría"
"Category view","Vista de categoría"
"Category view page","Página de vista de categoría"
"Category view widget","Widget de vista de categoría"
"Change status","Cambiar estado"
"Children","Hijos"
"Children count","Número de hijos"
"Collapse All","Contraer todo"
"Comment","Comentario"
"Comment Form","Formulario de comentario"
"Comment Title","Título del comentario"
"Comment can't be empty","El comentario no puede estar vacío"
"Comment form has been disabled.","El formulario de comentarios ha sido deshabilitado."
"Comment title","Título del comentario"
"Comment title can't be empty","El título del comentario no puede estar vacío"
"Comment was successfully deleted.","El comentario se ha eliminado correctamente."
"Comment was successfully saved","El comentario se ha guardado correctamente"
"Comments","Comentarios"
"Compatible with","Compatible con"
"Content","Contenido"
"Could not find comment to delete.","No se ha encontrado el comentario a eliminar."
"Could not find tag to delete.","No se ha encontrado la etiqueta a eliminar."
"Create new attribute","Crear nuevo atributo"
"Created at","Creado el"
"Current Product Related posts","Artículos relacionados del producto actual"
"Current Product Related posts widget","Widget de artículos relacionados del producto actual"
"Custom Sitemap","Mapa del sitio personalizado"
