" - Edit"," - Modifica"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[STORE VIEW]"
"[WEBSITE]","[WEBSITE]"
"[...]","[...]"
"About Blog","Informazioni sul Blog"
"Action","Azione"
"Add","Aggiungi"
"Add Child Category","Aggiungi sottocategoria"
"Add New","Aggiungi nuovo"
"Add New Post Attribute","Aggiungi nuovo attributo articolo"
"Add Post","Aggiungi articolo"
"Add Root Category","Aggiungi categoria principale"
"Add Tag","Aggiungi tag"
"Add category","Aggiungi categoria"
"Add option","Aggiungi opzione"
"Add post","Aggiungi articolo"
"Add tag","Aggiungi tag"
"Advanced Configuration","Configurazione avanzata"
"After post content, it will show recent posts in same category","Dopo il contenuto dell'articolo, verranno mostrati gli articoli recenti della stessa categoria"
"Allow Comment","Consenti commento"
"Allow comments","Consenti commenti"
"Allow guest comments","Consenti commenti degli ospiti"
"An error occurred while trying to delete the category.","Si è verificato un errore durante l'eliminazione della categoria."
"Approved","Approvato"
"Are you sure?","Sei sicuro?"
"Assign category to Post","Assegna categoria all'articolo"
"Assign post to Category","Assegna articolo alla categoria"
"Assign post to Tag","Assegna articolo al tag"
"Assign tag to Post","Assegna tag all'articolo"
"Attribute Information","Informazioni attributo"
"Attribute with the same code already exists","Esiste già un attributo con lo stesso codice"
"Attributes","Attributi"
"Back","Indietro"
"Better Blog","Better Blog"
"BetterBlog","BetterBlog"
"BetterBlog Feeds","BetterBlog Feeds"
"Blog","Blog"
"Blog name","Nome del blog"
"Blog sitemap generated successfully.","Sitemap del blog generata con successo."
"Buy","Compra"
"CSV","CSV"
"Can","Può"
"Can't delete root category.","Impossibile eliminare la categoria principale."
"Cannot move parent inside category","Impossibile spostare il genitore all'interno della categoria"
"Categories","Categorie"
"Categories rss feed","Feed RSS delle categorie"
"Category","Categoria"
"Category API","API Categoria"
"Category link","Link categoria"
"Category link widget","Widget link categoria"
"Category move error","Errore spostamento categoria"
"Category posts","Articoli della categoria"
"Category posts widget","Widget articoli della categoria"
"Category subtree","Sottoalbero categoria"
"Category subtree widget","Widget sottoalbero categoria"
"Category view","Vista categoria"
"Category view page","Pagina vista categoria"
"Category view widget","Widget vista categoria"
"Change status","Cambia stato"
"Children","Figli"
"Children count","Numero figli"
"Collapse All","Comprimi tutto"
"Comment","Commento"
"Comment Form","Modulo commento"
"Comment Title","Titolo commento"
"Comment can't be empty","Il commento non può essere vuoto"
"Comment form has been disabled.","Il modulo commento è stato disabilitato."
"Comment title","Titolo commento"
"Comment title can't be empty","Il titolo del commento non può essere vuoto"
"Comment was successfully deleted.","Il commento è stato eliminato con successo."
"Comment was successfully saved","Il commento è stato salvato con successo"
"Comments","Commenti"
"Compatible with","Compatibile con"
"Content","Contenuto"
"Could not find comment to delete.","Impossibile trovare il commento da eliminare."
"Could not find tag to delete.","Impossibile trovare il tag da eliminare."
"Create new attribute","Crea nuovo attributo"
"Created at","Creato il"
"Current Product Related posts","Articoli correlati del prodotto corrente"
"Current Product Related posts widget","Widget articoli correlati del prodotto corrente"
