" - Edit"," - Modifier"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[STORE VIEW]"
"[WEBSITE]","[WEBSITE]"
"[...]","[...]"
"About Blog","À propos du blog"
"Action","Action"
"Add","Ajouter"
"Add Child Category","Ajouter une sous-catégorie"
"Add New","Ajouter"
"Add New Post Attribute","Ajouter un nouvel attribut d'article"
"Add Post","Ajouter un article"
"Add Root Category","Ajouter une catégorie racine"
"Add Tag","Ajouter un tag"
"Add category","Ajouter une catégorie"
"Add option","Ajouter une option"
"Add post","Ajouter un article"
"Add tag","Ajouter un tag"
"Advanced Configuration","Configuration avancée"
"After post content, it will show recent posts in same category","Après le contenu de l'article, les articles récents de la même catégorie seront affichés"
"Allow Comment","Autoriser les commentaires"
"Allow comments","Autoriser les commentaires"
"Allow guest comments","Autoriser les commentaires des invités"
"An error occurred while trying to delete the category.","Une erreur s'est produite lors de la suppression de la catégorie."
"Approved","Approuvé"
"Are you sure?","Êtes-vous sûr(e) ?"
"Assign category to Post","Assigner une catégorie à l'article"
"Assign post to Category","Assigner un article à la catégorie"
"Assign post to Tag","Assigner un article au tag"
"Assign tag to Post","Assigner un tag à l'article"
"Attribute Information","Informations sur l'attribut"
"Attribute with the same code already exists","Un attribut avec le même code existe déjà"
"Attributes","Attributs"
"Back","Retour"
"Better Blog","Better Blog"
"BetterBlog","BetterBlog"
"BetterBlog Feeds","Flux BetterBlog"
"Blog","Blog"
"Blog name","Nom du blog"
"Blog sitemap generated successfully.","Le sitemap du blog a été généré avec succès."
"Buy","Acheter"
"CSV","CSV"
"Can","Peut"
"Can't delete root category.","Impossible de supprimer la catégorie racine."
"Cannot move parent inside category","Impossible de déplacer le parent dans la catégorie"
"Categories","Catégories"
"Categories rss feed","Flux RSS des catégories"
"Category","Catégorie"
"Category API","API des catégories"
"Category link","Lien de catégorie"
"Category link widget","Widget lien de catégorie"
"Category move error","Erreur de déplacement de catégorie"
"Category posts","Articles de la catégorie"
"Category posts widget","Widget articles de la catégorie"
"Category subtree","Sous-arborescence de catégorie"
"Category subtree widget","Widget sous-arborescence de catégorie"
"Category view","Vue de la catégorie"
"Category view page","Page de vue de la catégorie"
"Category view widget","Widget vue de la catégorie"
"Change status","Changer le statut"
"Children","Enfants"
"Children count","Nombre d'enfants"
"Collapse All","Tout réduire"
"Comment","Commentaire"
"Comment Form","Formulaire de commentaire"
"Comment Title","Titre du commentaire"
"Comment can't be empty","Le commentaire ne peut pas être vide"
"Comment form has been disabled.","Le formulaire de commentaire a été désactivé."
"Comment title","Titre du commentaire"
"Comment title can't be empty","Le titre du commentaire ne peut pas être vide"
"Comment was successfully deleted.","Le commentaire a été supprimé avec succès."
"Comment was successfully saved","Le commentaire a été enregistré avec succès"
"Comments","Commentaires"
"Compatible with","Compatible avec"
"Content","Contenu"
"Could not find comment to delete.","Impossible de trouver le commentaire à supprimer."
"Could not find tag to delete.","Impossible de trouver le tag à supprimer."
"Create new attribute","Créer un nouvel attribut"
"Created at","Créé le"
"Current Product Related posts","Articles associés au produit actuel"
